country_code,country_or_region,year,latest_year,emissions_intensity_gco2_per_kwh
PHL,Philippines (the),2020,2021,578.009
POL,Poland,2020,2021,647.321
PRT,Portugal,2020,2021,251.843
PRI,Puerto Rico,2020,2020,601.734
QAT,Qatar,2020,2020,489.87
REU,Reunion,2020,2020,452.769
ROU,Romania,2020,2021,244.876
RUS,Russian Federation (the),2020,2021,347.451
RWA,Rwanda,2020,2020,377.358
KNA,Saint Kitts and Nevis,2020,2020,681.818
LCA,Saint Lucia,2020,2020,685.714
SPM,Saint Pierre and Miquelon,2020,2020,800.0
VCT,Saint Vincent and the Grenadines,2020,2020,500.0
WSM,Samoa,2020,2020,428.571
STP,Sao Tome and Principe,2020,2020,666.667
SAU,Saudi Arabia,2020,2021,570.473
SEN,Senegal,2020,2021,545.29
SRB,Serbia,2020,2021,597.905
SYC,Seychelles,2020,2020,693.878
SLE,Sierra Leone,2020,2020,47.619
SGP,Singapore,2020,2021,488.668
SVK,Slovakia,2020,2021,158.741
SVN,Slovenia,2020,2021,245.708
SLB,Solomon Islands,2020,2020,700.0
SOM,Somalia,2020,2020,657.143
ZAF,South Africa,2020,2021,720.023
KOR,South Korea,2020,2021,444.398
SSD,South Sudan,2020,2020,709.091
ESP,Spain,2020,2021,199.515
LKA,Sri Lanka,2020,2020,494.275
SDN,Sudan (the),2020,2020,266.106
SUR,Suriname,2020,2020,305.085
SWE,Sweden,2020,2021,42.371
CHE,Switzerland,2020,2021,55.166
SYR,Syrian Arab Republic (the),2020,2020,538.554
TWN,Taiwan (Province of China),2020,2021,563.381
TJK,Tajikistan,2020,2021,73.489
TZA,"Tanzania, the United Republic of",2020,2020,386.792
THA,Thailand,2020,2021,506.537
TGO,Togo,2020,2020,592.593
TON,Tonga,2020,2020,666.667
TTO,Trinidad and Tobago,2020,2020,520.278
TUN,Tunisia,2020,2021,471.087
TUR,Turkey,2020,2021,411.302
TKM,Turkmenistan,2020,2020,544.381
TCA,Turks and Caicos Islands (the),2020,2020,708.333
UGA,Uganda,2020,2020,77.088
UKR,Ukraine,2020,2021,279.239
ARE,United Arab Emirates,2020,2020,471.57
GBR,United Kingdom,2020,2021,245.715
USA,United States of America,2020,2021,369.571
URY,Uruguay,2020,2020,106.013
UZB,Uzbekistan,2020,2020,496.78
VUT,Vanuatu,2020,2020,571.429
VEN,Venezuela (Bolivarian Republic of),2020,2020,192.012
VNM,Viet Nam,2020,2021,546.025
VGB,Virgin Islands (British),2020,2020,714.286
VIR,Virgin Islands (U.S.),2020,2020,693.548
,World,2020,2021,436.53
YEM,Yemen,2020,2020,540.698
ZMB,Zambia,2020,2020,120.776
ZWE,Zimbabwe,2020,2020,288.24
